Termine,Definizione
Repository,"Un repository (letteralmente deposito o ripostiglio), in informatica, è un ambiente di un sistema informativo (ad esempio di tipo ERP), in cui vengono gestiti i metadati, attraverso tabelle relazionali; l'insieme di tabelle, regole e motori di calcolo tramite cui si gestiscono i metadati prende il nome di metabase."
Template,"Il termine inglese template in informatica indica un documento o programma nel quale, come in un foglio semicompilato cartaceo, su una struttura generica o standard esistono spazi temporaneamente bianchi da riempire successivamente. In questo ambito, la parola in italiano è traducibile come modello, semicompilato, schema, struttura base, ossatura generale o scheletro, o più correntemente modulo, anche se di solito non così elaborato e sofisticato."
Package,"In informatica, packages applicativi, o pacchetti di software, insiemi di programmi predisposti per risolvere un problema di carattere generale in tutti i casi particolari in cui si presenta."
Versionamento,"Il versionamento (version control), in informatica, è la gestione di versioni multiple di un insieme di informazioni."
Git,"Git è un software di controllo di versione distribuito utilizzabile da interfaccia a riga di comando, creato da Linus Torvalds nel 2005."
Branch,"I rami (branch o più estesamente ramificazioni) vengono utilizzati in Git per l’implementazione di funzionalità tra loro isolate, cioè sviluppate in modo indipendente l’una dall’altra ma a partire dalla medesima radice."
Staging area,"L'area di stage rappresenta una sorta di entità intermedia tra la directory di lavoro e la directory del DVCS; una volta eseguite le operazioni relative allo staging, sarà possibile effettuare il commit delle modifiche apportate al proprio progetto."
Log file,"I file di log sono file che contengono messaggi relativi al sistema, compreso il kernel, i servizi e le applicazioni in funzione. I record conservano tutte le informazioni sul normale funzionamento della macchina e, soprattutto, le registrazioni di errori e problemi."
GitHub Actions,"Github Actions è una feature di Github che permette di creare dei veri e propri workflow di CI/CD (continuous integration e continuos delivery) all'interno di ogni repository."
Artifacts,"In informatica, e in particolare in ingegneria del software, un artefatto è un sottoprodotto che viene realizzato durante lo sviluppo software."
